Run,Actual_Volume_mL,Absolute_Capacitance_pF,Empty_Baseline_pF,Delta_C_pF
1,0,13.8163,13.8163,0.0
1,40,14.6606,13.8163,0.8443000000000005
1,60,14.8009,13.8163,0.9846000000000004
1,80,14.9333,13.8163,1.116999999999999
1,100,15.0753,13.8163,1.2590000000000003
1,150,15.4501,13.8163,1.6338000000000008
1,200,15.7768,13.8163,1.9604999999999997
1,250,16.1463,13.8163,2.33
1,300,16.4848,13.8163,2.6685
1,350,16.8747,13.8163,3.0584000000000007
1,400,17.1846,13.8163,3.3682999999999996
1,450,17.5358,13.8163,3.7194999999999983
1,500,17.8989,13.8163,4.082600000000001
2,0,14.034,14.034,0.0
2,40,14.8168,14.034,0.7827999999999999
2,60,14.9368,14.034,0.9027999999999992
2,80,15.0411,14.034,1.0070999999999994
2,100,15.1737,14.034,1.1396999999999995
2,150,15.5109,14.034,1.4768999999999988
2,200,15.8236,14.034,1.7896
2,250,16.158,14.034,2.1240000000000006
2,300,16.431,14.034,2.3970000000000002
2,350,16.7291,14.034,2.6950999999999983
2,400,17.0561,14.034,3.0221
2,450,17.3551,14.034,3.3210999999999995
2,500,17.6521,14.034,3.6181
3,0,13.7745,13.7745,0.0
3,40,14.5917,13.7745,0.8171999999999997
3,60,14.7284,13.7745,0.9539000000000009
3,80,14.858,13.7745,1.0835000000000008
3,100,15.0452,13.7745,1.2706999999999997
3,150,15.3758,13.7745,1.6013000000000002
3,200,15.6534,13.7745,1.8788999999999998
3,250,15.963,13.7745,2.1884999999999994
3,300,16.2676,13.7745,2.493100000000002
3,350,16.615,13.7745,2.8404999999999987
3,400,16.8917,13.7745,3.1172000000000004
3,450,17.2047,13.7745,3.4301999999999992
3,500,17.5105,13.7745,3.7360000000000007
