Step,Volume (mL),Mean capacitance (pF),Median capacitance (pF),Std (pF),Samples
1,50.0,14.183780000000002,14.17985,0.010014021748475838,20
2,100.0,14.481375,14.48425,0.017919633391047997,24
3,150.0,14.767933333333334,14.76635,0.012059297934236147,24
4,200.0,15.037466666666667,15.0345,0.011458857563765457,33
5,250.0,15.269645000000002,15.2686,0.011396743533040212,20
6,300.0,15.503046428571432,15.50065,0.009458348542047655,28
7,350.0,15.752888,15.7525,0.013635380449404572,25
8,400.0,16.029576190476195,16.0281,0.008955160789282664,21
9,450.0,16.319211999999997,16.3178,0.013351695273135275,25
10,500.0,16.68066551724138,16.6813,0.00844525546691611,29
