Volume_mL,Run1_DeltaC_pF,Run2_DeltaC_pF,Mean_DeltaC_pF,SD_DeltaC_pF
40.0,0.8443000000000005,0.7827999999999999,0.8135500000000002,0.04348706704297307
60.0,0.9846000000000004,0.9027999999999992,0.9436999999999998,0.05784133470106044
80.0,1.116999999999999,1.0070999999999994,1.0620499999999993,0.07771103525240133
100.0,1.2590000000000003,1.1396999999999995,1.19935,0.08435783899555573
150.0,1.6338000000000008,1.4768999999999988,1.5553499999999998,0.11094505396817075
200.0,1.9604999999999997,1.7896,1.8750499999999999,0.12084454890478069
250.0,2.33,2.1240000000000006,2.2270000000000003,0.14566399692442844
300.0,2.6685,2.3970000000000002,2.53275,0.1919794910921474
350.0,3.0584000000000007,2.6950999999999983,2.8767499999999995,0.2568918936050744
400.0,3.3682999999999996,3.0221,3.1952,0.24480036764678248
450.0,3.7194999999999983,3.3210999999999995,3.520299999999999,0.28171134162471967
500.0,4.082600000000001,3.6181,3.8503500000000006,0.32845109986115206
